iter	RMSE
346	12230.90132
347	12216.95001
348	12202.10622
349	12177.87871
350	12175.29078
351	12172.29893
352	12158.22981
353	12155.76278
354	12144.73369
355	12121.40226
356	12118.99388
357	12109.06348
358	12087.20281
359	12077.00997
360	12059.65365
361	12044.93662
362	12024.61319
363	12004.96092
364	11988.48201
365	11975.65588
366	11954.16965
367	11935.18612
368	11918.71884
369	11902.04748
370	11880.74424
371	11859.68874
372	11842.55308
373	11821.87745
374	11803.10919
375	11791.07995
376	11777.60679
377	11763.09441
378	11746.97672
379	11728.41772
380	11717.57071
381	11702.55837
382	11695.15774
383	11690.7785
384	11675.39752
385	11669.50822
386	11650.60983
387	11640.91476
388	11618.77005
389	11602.64112
390	11585.62262
391	11576.47796
392	11558.12528
393	11555.73068
394	11540.65207
395	11527.2272
396	11516.96468
397	11497.78784
398	11477.88962
399	11466.48421
400	11464.41898
401	11451.41896
402	11441.20963
403	11425.85476
404	11408.56219
405	11396.14212
406	11386.23819
407	11384.96588
408	11372.42857
409	11359.58394
410	11348.78846
411	11347.13391
412	11336.34049
413	11326.43509
414	11313.55516
415	11311.09442
416	11297.5374
417	11276.17785
418	11258.4508
419	11256.89487
420	11243.48074
421	11229.09876
422	11220.57746
423	11203.26389
424	11191.34627
425	11181.94737
426	11176.81837
427	11156.39657
428	11146.70817
429	11127.33944
430	11114.52012
431	11096.26224
432	11083.58253
433	11073.02412
434	11056.74133
435	11043.55891
436	11032.34914
437	11008.22965
438	10993.45221
439	10978.91286
440	10961.40966
441	10942.7525
442	10925.63986
443	10914.38947
444	10907.99867
445	10895.58832
446	10894.187
447	10882.86943
448	10869.46346
449	10854.9439
450	10845.20208
451	10832.69277
452	10818.67923
453	10807.34535
454	10786.49572
455	10776.8464
456	10767.03659
457	10757.77797
458	10751.34359
459	10738.06155
460	10726.71608
461	10719.44397
462	10705.20307
463	10687.68101
464	10682.064
465	10674.88335
466	10660.09153
467	10651.76739
468	10640.42125
469	10630.78595
470	10618.61802
471	10602.87531
472	10601.08592
473	10585.03109
474	10573.77404
475	10561.43788
476	10549.49924
477	10537.36161
478	10529.45755
479	10512.15816
480	10502.15117
481	10492.4866
482	10483.18855
483	10465.24084
484	10454.65395
485	10443.58334
486	10442.50904
487	10429.24082
488	10414.21986
489	10396.82264
490	10393.97943
491	10377.53959
492	10368.89192
493	10358.62512
494	10349.91342
495	10338.24915
496	10327.11524
497	10315.83557
498	10305.72961
499	10294.5261
500	10281.81481
501	10263.4251
502	10255.68373
503	10242.32553
504	10229.63973
505	10212.84971
506	10201.4207
507	10194.30266
508	10179.21579
509	10170.18289
510	10159.81558
511	10147.8478
512	10142.50541
513	10132.80414
514	10125.15783
515	10111.77214
516	10100.65612
517	10090.77054
518	10089.65035
519	10073.87953
520	10063.77008
521	10049.56243
522	10040.51623
523	10026.3384
524	10019.84046
525	10010.97271
526	9998.964607
527	9983.45226
528	9970.51833
529	9959.36009
530	9950.031593
531	9938.355617
532	9931.80283
533	9923.978364
534	9923.034187
535	9911.213049
536	9904.062057
537	9889.887383
538	9875.043502
539	9860.342696
540	9841.990956
541	9830.116461
542	9823.259992
543	9819.865427
544	9805.067407
545	9796.816534
546	9789.034466
547	9777.855478
548	9769.613334
549	9760.320093
550	9752.690646
551	9742.084384
552	9733.849001
553	9732.94279
554	9719.410841
555	9707.685872
556	9695.299847
557	9683.472945
558	9667.895797
559	9658.594815
560	9648.79031
561	9638.552917
562	9629.432411
563	9628.571974
564	9619.271443
565	9608.842707
566	9597.283298
567	9583.634527
568	9572.061373
569	9562.483485
570	9558.593835
571	9544.03785
572	9536.56039
573	9526.974661
574	9519.468019
575	9508.601257
576	9497.576377
577	9489.650664
578	9478.094108
579	9466.820868
580	9453.108931
581	9448.026379
582	9438.243071
583	9433.11305
584	9430.806168
585	9422.361504
586	9410.889789
587	9396.832648
588	9388.251656
589	9380.841258
590	9370.83569
591	9367.738413
592	9357.169336
593	9344.742495
594	9336.322934
595	9327.411659
596	9318.787869
597	9309.238718
598	9308.309657
599	9297.750024
600	9284.924484
601	9276.408701
602	9260.830617
603	9260.042435
604	9257.583956
605	9247.673248
606	9235.862252
607	9224.883998
608	9224.121087
609	9207.198845
610	9198.802759
611	9190.698472
612	9180.715348
613	9171.176522
614	9160.422682
615	9151.135112
616	9142.385948
617	9127.011555
618	9120.239669
619	9113.775277
620	9105.983096
621	9092.248421
622	9088.285658
623	9079.817226
624	9071.361474
625	9062.831807
626	9053.583462
627	9043.196786
628	9035.359413
629	9021.987795
630	9009.616531
631	9002.009769
632	8995.297787
633	8988.411696
634	8979.791524
635	8978.979627
636	8967.135513
637	8957.330332
638	8956.65323
639	8946.031791
640	8945.264216
641	8941.585533
642	8935.656256
643	8927.402595
644	8919.372548
645	8908.517282
646	8900.745396
647	8900.00663
648	8893.746
649	8886.097543
650	8878.47087
651	8869.754624
652	8861.882688
653	8858.395908
654	8852.121768
655	8842.677411
656	8831.120869
657	8822.193329
658	8814.270055
659	8805.688976
660	8797.368531
661	8789.269328
662	8783.637301
663	8776.341483
664	8767.819993
665	8759.553644
666	8754.063729
667	8749.470462
668	8738.125558
669	8730.221598
670	8721.799615
671	8715.132289
672	8705.624788
673	8695.811518
674	8691.73605
675	8681.896462
676	8674.625806
677	8665.111217
678	8657.267712
679	8650.468556
680	8643.308034
681	8634.127736
682	8626.016051
683	8616.370002
684	8606.406684
685	8605.725097
686	8597.472311
687	8592.173516
688	8582.399928
689	8581.81974
690	8564.783726
691	8553.999832
692	8547.322611
693	8539.062853
694	8531.777714
695	8523.682684
696	8518.667751
697	8516.368163
698	8515.023994
699	8505.498814
700	8496.098871
701	8487.800501
702	8477.531085
703	8473.899291
704	8469.807984
705	8459.915758
706	8455.73488
707	8448.869431
708	8444.968287
709	8439.542167
710	8431.73566
711	8422.703865
712	8414.165909
713	8408.495054
714	8402.001428
715	8395.316286
716	8389.357462
717	8378.964784
718	8378.320888
719	8365.318363
720	8359.9971
721	8351.959169
722	8345.063082
723	8338.536177
724	8328.809026
725	8324.588597
726	8316.473513
727	8309.132905
728	8302.40368
729	8295.281698
730	8287.578617
731	8279.833906
732	8270.373416
733	8269.743287
734	8258.523002
735	8257.908195
736	8257.372756
737	8242.478627
738	8236.248376
739	8228.88426
740	8221.982665
741	8212.753516
742	8206.42774
743	8198.458193
744	8191.947162
745	8181.196204
746	8176.913803
747	8169.400606
748	8164.405057
749	8155.24637
750	8148.735338
751	8143.636846
752	8135.19871
753	8129.159575
754	8119.56332
755	8113.424642
756	8102.093454
757	8095.871339
758	8086.651349
759	8080.472852
760	8073.973617
761	8064.134063
762	8056.051442
763	8048.937129
764	8042.929728
765	8034.086581
766	8027.562471
767	8021.548431
768	8015.076534
769	8005.068635
770	8000.110983
771	7999.53149
772	7993.490563
773	7985.275021
774	7976.551355
775	7968.918725
776	7962.912366
777	7954.341921
778	7949.519335
779	7940.529179
780	7935.093244
781	7927.502203
782	7918.468467
783	7909.838063
784	7906.886552
785	7900.54299
786	7888.090857
787	7879.665038
788	7871.217868
789	7865.044173
790	7858.510268
791	7843.328482
792	7835.710515
793	7827.973153
794	7821.288458
795	7815.568356
796	7809.33635
797	7802.942146
798	7793.70928
799	7785.860601
800	7776.403047
801	7772.771732
802	7763.723611
803	7758.166691
804	7752.44617
805	7746.582782
806	7741.227332
807	7737.226139
808	7731.64356
809	7726.754569
810	7721.643134
811	7717.079734
812	7707.553532
813	7707.052517
814	7697.287931
815	7695.09088
816	7684.512873
817	7673.404242
818	7667.010805
819	7659.824356
820	7655.47907
821	7649.908349
822	7649.442233
823	7648.936027
824	7642.975341
825	7639.639651
826	7631.217396
827	7626.93314
828	7621.270596
829	7616.906208
830	7612.308561
831	7605.677633
832	7598.646825
833	7589.660428
834	7580.319166
835	7575.044796
836	7568.787652
837	7561.312729
838	7558.085011
839	7551.845337
840	7551.400377
841	7545.396716
842	7537.668541
843	7532.85036
844	7527.537575
845	7523.091816
846	7519.691894
847	7511.632633
848	7503.036351
849	7498.875105
850	7492.604308
851	7485.952145
852	7474.983983
853	7467.775609
854	7462.275054
855	7457.428066
856	7451.776099
857	7443.511812
858	7436.242606
859	7427.196036
860	7420.72476
861	7413.803355
862	7408.866915
863	7403.463506
864	7397.187207
865	7390.364062
866	7389.888643
867	7384.954648
868	7378.629955
869	7369.54113
870	7363.144598
871	7357.886167
872	7348.811769
873	7341.3791
874	7338.740006
875	7338.321724
876	7331.225936
877	7326.141739
878	7320.178224
879	7310.338326
880	7309.895067
881	7300.875349
882	7296.304319
883	7286.482966
884	7282.058482
885	7275.291953
886	7265.734702
887	7259.320276
888	7253.169968
889	7245.479686
890	7240.459856
891	7234.133046
892	7228.919101
893	7223.592642
894	7219.717313
895	7214.154489
896	7207.743569
897	7203.026668
898	7196.100281
899	7190.354711
900	7186.932495
901	7186.530618
902	7181.988692
903	7171.767717
904	7169.530286
905	7160.068647
906	7158.093342
907	7152.115261
908	7147.828526
909	7142.1842
910	7138.41784
911	7130.621609
912	7127.914256
913	7122.670152
914	7117.891427
915	7109.266603
916	7104.277432
917	7097.22171
918	7089.612511
919	7083.288847
920	7076.43542
921	7069.08622
922	7061.089699
923	7053.589294
924	7053.199364
925	7052.821015
926	7051.355068
927	7046.925798
928	7039.716153
929	7039.383986
930	7031.676578
931	7026.093402
932	7016.002825
933	7012.326182
934	7007.679104
935	7002.821598
936	6993.976327
937	6992.512599
938	6988.913697
939	6984.320882
940	6983.961683
941	6979.132066
942	6974.35072
943	6971.01383
944	6963.820461
945	6958.921964
946	6953.732609
947	6946.224315
948	6941.930616
949	6939.897374
950	6936.444095
951	6928.852892
952	6925.10022
953	6918.553433
954	6918.2592
955	6912.869634
956	6904.752047
957	6904.358896
958	6904.023326
959	6897.580421
960	6894.704594
961	6894.43258
962	6890.42145
963	6884.838324
964	6878.958921
965	6878.640953
966	6874.837144
967	6870.728786
968	6863.180019
969	6859.047198
970	6852.883418
971	6846.163185
972	6839.323695
973	6833.629014
974	6828.347617
975	6825.7615
976	6816.120973
977	6809.090773
978	6805.030825
979	6796.569006
980	6788.235949
981	6783.090769
982	6776.844877
983	6773.172187
984	6766.2844
985	6759.886007
986	6752.325842
987	6749.304223
988	6741.878286
989	6736.033497
990	6731.814665
991	6725.382326
992	6717.336496
993	6713.092835
994	6705.894253
995	6698.749824
996	6693.976622
997	6688.407386
998	6681.941293
999	6678.047478
